repo	F1	F2	F3	F4	F_count	F5	R_current	days_all_refs	days_default_branch	src_files	tier_old	tier_new
ampaign-craft	1	1	1	1	4	0	0	101	101	939	A	B
COR-SYS	1	1	1	1	4	0	0	132	132	434	A	B
groundstate-protocol	1	1	1	1	4	0	1	17	17	125	A	B
ground-state-protocol	1	1	1	0	3	0	0	92	92	91	A	B
lessons	0	1	1	1	3	0	1	0	98	54	A	B
MATI	0	1	1	1	3	1	1	1	1	27	A	A
anti-silo	1	1	1	1	4	1	1	3	3	73	A	A
Agent-Architect	1	1	1	1	4	0	0	87	87	16	A	B
CRM_Google_ai	1	1	0	1	3	0	0	66	66	205	A	B
agency-insight-analyzer	1	1	1	0	3	0	0	68	68	62	A	B
Algo-trade	1	1	1	0	3	0	0	275	275	68	A	B
CandiApp	1	1	1	1	4	0	0	205	273	36	A	B
brain-healer-hub	1	1	0	0	2	0	0	138	138	79	B	C
kolzchut	1	1	0	0	2	0	0	151	151	4	B	C
chess-mind-patterns	1	1	0	0	2	0	0	149	149	130	B	C
org-fortify	1	1	0	0	2	0	0	145	145	104	B	C
All_Erez-s_Connections	1	1	0	0	2	0	0	140	140	1	B	C
keepath	0	1	0	0	1	0	0	74	231	89	B	C
nextjs-ai-chatbot	1	1	0	1	3	0	0	360	360	123	A	B
Organziational_algo	1	1	0	0	2	0	0	282	285	5	B	C
Benchmark.ATS	0	1	1	0	2	0	0	274	274	2	B	C
core-unified-consciousness	1	0	0	0	1	0	0	163	163	84	B	C
Hr_SMB	0	1	0	0	1	0	0	265	265	0	D	D
Contradiction_loss	0	1	0	0	1	0	0	77	282	2	B	C
Metatrader	0	1	0	0	1	0	0	442	442	12	B	C
nuxtjs-boilerplate	1	1	0	0	2	0	0	506	506	17	B	C
pilot	0	1	0	0	1	0	0	219	219	0	D	D
Focuos	0	1	0	0	1	0	0	341	341	0	D	D
Masse-agent	0	1	0	0	1	0	0	421	421	0	D	D
onto-trade	0	1	0	0	1	0	0	394	394	0	D	D
Resilience_calculator	0	1	0	0	1	0	0	245	245	0	D	D
